timestamp,id,code,name,category_name,price,discount_price,total_stock,warehouse_stock
2026-02-09T01:56:36.060812,42616,30230658,Löwenbräu Original 6x500ml,All Lagers,2990.0,,10,"{""H495"": 10}"
2026-02-09T01:56:36.060812,42608,30230691,Boli Sterkur Pilsner 6x500ml,All Lagers,4290.0,,11,"{""H495"": 11}"
2026-02-09T01:56:36.060812,42576,30230634,Stella Artois 10x440ml,All Lagers,4190.0,,10,"{""H495"": 10}"
2026-02-09T01:56:36.060812,42703,30230822,Gull 12x500ml,All Lagers,5790.0,,46,"{""H495"": 46}"
2026-02-09T01:56:36.060812,42776,30230913,Thule 12x500ml,All Lagers,5890.0,,26,"{""H495"": 26}"
2026-02-09T01:56:36.060812,42709,30230837,Heineken 4x500ml,All Lagers,2090.0,,90,"{""H495"": 90}"
2026-02-09T01:56:36.060812,42696,30230821,Boli 12x500ml,All Lagers,6190.0,,48,"{""H495"": 48}"
2026-02-09T01:56:36.060812,42701,30230824,Tuborg Classic 12x500ml,All Lagers,5690.0,,28,"{""H495"": 28}"
2026-02-09T01:56:36.060812,42680,30230819,Tuborg Green 12x500ml,All Lagers,4590.0,,107,"{""H495"": 107}"
2026-02-09T01:56:36.060812,42720,30230817,Carlsberg 10x500ml,All Lagers,4490.0,,4,"{""H495"": 4}"
2026-02-09T01:56:36.060812,42614,30230641,Budweiser Budvar 6x500ml,All Lagers,3390.0,,13,"{""H495"": 13}"
2026-02-09T01:56:36.060812,42609,30230692,Polar Beer 6x500ml,All Lagers,2480.0,,11,"{""H495"": 11}"
2026-02-09T01:56:36.060812,43362,30234395,Budweiser 10x440ml,All Lagers,4750.0,3790.0,13,"{""H495"": 13}"
2026-02-09T01:56:36.060812,42533,30230617,Víking Rökkr 12x500ml,All Lagers,5490.0,,5,"{""H495"": 5}"
2026-02-09T01:56:36.060812,43056,30233866,Boli 12x330ml,All Lagers,5190.0,,3,"{""H495"": 3}"
2026-02-09T01:56:36.060812,43058,30233867,Thule 12x330ml,All Lagers,4790.0,3890.0,61,"{""H495"": 61}"
2026-02-09T01:56:36.060812,43055,30216183,Tuborg Classic 12x330ml,All Lagers,4490.0,,26,"{""H495"": 26}"
2026-02-09T01:56:36.060812,43010,30230858,Budweiser Budvar 6x330ml,All Lagers,2590.0,,15,"{""H495"": 15}"
2026-02-09T01:56:36.060812,42822,30230916,Víking Gylltur 12x330ml,All Lagers,5090.0,,47,"{""H495"": 47}"
2026-02-09T01:56:36.060812,42805,30230917,Víking Lager 18x330ml,All Lagers,5490.0,,8,"{""H495"": 8}"
2026-02-09T01:56:36.060812,42715,30230816,Tuborg Green 12x330ml,All Lagers,3780.0,,11,"{""H495"": 11}"
2026-02-09T01:56:36.060812,42708,30230818,Gull 12x330ml,All Lagers,4590.0,,58,"{""H495"": 58}"
2026-02-09T01:56:36.060812,42669,30230770,Ölvisholt Classic 10x330ml,All Lagers,4490.0,3590.0,48,"{""H495"": 48}"
2026-02-09T01:56:36.060812,42574,30230635,Stella Artois 6x330ml,All Lagers,2390.0,,20,"{""H495"": 20}"
2026-02-09T01:56:36.060812,42597,30230643,Estrella Damm 6x330ml,All Lagers,2490.0,,7,"{""H495"": 7}"
2026-02-09T01:56:36.060812,42588,30230639,Heineken 6x330ml,All Lagers,2490.0,1990.0,64,"{""H495"": 64}"
2026-02-09T01:56:36.060812,42564,30230572,Carlsberg Elephant 6x330ml,All Lagers,3690.0,,34,"{""H495"": 34}"
2026-02-09T01:56:36.060812,42716,30230798,Peroni Nastro Azzurro 6x330ml,All Lagers,2490.0,,5,"{""H495"": 5}"
2026-02-09T01:56:36.060812,42636,30230730,RVK Kopar Klassík 6x330ml,All Lagers,2690.0,2090.0,17,"{""H495"": 17}"
2026-02-09T01:56:36.060812,42657,30230768,Ölvisholt Lager 10x330ml,All Lagers,4480.0,3590.0,28,"{""H495"": 28}"
2026-02-09T01:56:36.060812,42755,30230860,Corona Extra 6x355ml (Gler),All Lagers,2850.0,2280.0,9,"{""H495"": 9}"
2026-02-09T01:56:36.060812,42741,30230884,Stella Artois 6x330ml (Gler),All Lagers,2490.0,,21,"{""H495"": 21}"
2026-02-09T01:56:36.060812,42722,30230797,Peroni Nastro Azzurro 6x330ml (Gler),All Lagers,2590.0,,10,"{""H495"": 10}"
2026-02-09T01:56:36.060812,42569,30230581,Heineken 6x330ml (Gler),All Lagers,2090.0,1990.0,119,"{""H495"": 119}"
2026-02-09T01:56:36.060812,42686,30230823,Gull Lite 12x500ml,All Lite Beers,5690.0,,24,"{""H495"": 24}"
2026-02-09T01:56:36.060812,43032,30230708,Gull Lite Premium 12x500ml,All Lite Beers,6190.0,,5,"{""H495"": 5}"
2026-02-09T01:56:36.060812,42615,30230707,Boli X 12x500ml,All Lite Beers,5800.0,,19,"{""H495"": 19}"
2026-02-09T01:56:36.060812,42508,30216182,Gull Lite 12x330ml,All Lite Beers,4390.0,,158,"{""H495"": 158}"
2026-02-09T01:56:36.060812,42782,30230942,Kaldi Ljós 10x330ml,All Lite Beers,3290.0,,11,"{""H495"": 11}"
2026-02-09T01:56:36.060812,42721,30230808,Kaldi Lite 10x330ml,All Lite Beers,3160.0,,9,"{""H495"": 9}"
2026-02-09T01:56:36.060812,42707,30230838,Víking Lite Classic 12x330ml,All Lite Beers,4390.0,,3,"{""H495"": 3}"
2026-02-09T01:56:36.060812,42661,30230734,Boli X 12x330ml,All Lite Beers,4790.0,,36,"{""H495"": 36}"
2026-02-09T01:56:36.060812,42666,30230769,Ölvisholt Lite 10x330ml,All Lite Beers,3890.0,3190.0,26,"{""H495"": 26}"
2026-02-09T01:56:36.060812,42605,30230709,Gull Lite Premium 12x330ml,All Lite Beers,4790.0,,10,"{""H495"": 10}"
2026-02-09T01:56:36.060812,42624,30230710,Gull Lite Yuzu Lime 10x330ml,All Lite Beers,4270.0,,7,"{""H495"": 7}"
2026-02-09T01:56:36.060812,42620,30230693,Guinness 4x440ml,All Ales,2090.0,,20,"{""H495"": 20}"
2026-02-09T01:56:36.060812,43034,30230667,Víking Systir 6x330ml,All Ales,3290.0,,3,"{""H495"": 3}"
2026-02-09T01:56:36.060812,43029,30230660,Ölvisholt Red Ale 6x330ml,All Ales,3590.0,,4,"{""H495"": 4}"
2026-02-09T01:56:36.060812,42803,30230911,Einstök Arctic Pale Ale 12x330ml,All Ales,4790.0,,6,"{""H495"": 6}"
2026-02-09T01:56:36.060812,42801,30230912,Einstök White Ale 12x330ml,All Ales,4790.0,,6,"{""H495"": 6}"
2026-02-09T01:56:36.060812,42649,30230767,Ölvisholt Session IPA 10x330ml,All Ales,4790.0,3890.0,85,"{""H495"": 85}"
2026-02-09T01:56:36.060812,42659,30230731,RVK Pale Ale 6x330ml,All Ales,3190.0,,30,"{""H495"": 30}"
2026-02-09T01:56:36.060812,43054,30233870,Úlfey Nr.67 4x330ml,All Ales,3790.0,,7,"{""H495"": 7}"
2026-02-09T01:56:36.060812,43007,30230697,Kronenbourg 1664 Blanc 6x330ml (Gler),All Ales,2690.0,,2,"{""H495"": 2}"
2026-02-09T01:56:36.060812,43044,30233862,Einstök Winter Ale 6x330ml,All Seasonal Beers,4590.0,,3,"{""H495"": 3}"
2026-02-09T01:56:36.060812,43046,30233861,Tuborg Lille jólabjór 12x500ml,All Seasonal Beers,5990.0,,21,"{""H495"": 21}"
2026-02-09T01:56:36.060812,43057,30233869,Víking Lite Jóla 6x330ml,All Seasonal Beers,2390.0,,12,"{""H495"": 12}"
2026-02-09T01:56:36.060812,42814,30230946,Hvít Jól 6x330ml,All Seasonal Beers,2790.0,,1,"{""H495"": 1}"
2026-02-09T01:56:36.060812,42612,30230659,Ölvisholt Birta 6x330ml,All Seasonal Beers,2490.0,2090.0,27,"{""H495"": 27}"
2026-02-09T01:56:36.060812,42859,216604247,Víking 2.25% 6x500ml,All Low-Alcohol Beers,1590.0,,5,"{""H495"": 5}"
2026-02-09T01:56:36.060812,42813,30230936,Faustino VII Red 750ml,Cabernet Sauvignon,2290.0,,3,"{""H495"": 3}"
2026-02-09T01:56:36.060812,42761,30230904,Chianti Classico Campomaggio 750ml,Cabernet Sauvignon,3720.0,,6,"{""H495"": 6}"
2026-02-09T01:56:36.060812,42754,30230908,Las Moras Cab - Shiraz Reserva 750ml,Cabernet Sauvignon,3190.0,,5,"{""H495"": 5}"
2026-02-09T01:56:36.060812,42728,30230847,Finca Las Moras Shiraz 750ml,Cabernet Sauvignon,2590.0,,32,"{""H495"": 32}"
2026-02-09T01:56:36.060812,42740,30230881,Casa Solis Cabernet Sauvignon 750ml,Cabernet Sauvignon,2980.0,,1,"{""H495"": 1}"
